"NAME [String]","METHOD [String]","alpha [Double]","featuresColumn [String]","method [String]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"data_kcnq","SMILE_NB","1.0","cdk_fp","Bernoulli","0.8052944210606556","0.8112147259830504","0.807708991699548","0.7969595454993683"
"data_kcnq","SMILE_NB","2.0","cdk_fp","Bernoulli","0.783244063043964","0.7891700655928454","0.7850828675088863","0.7754792560301598"
"data_kcnq","SMILE_NB","0.0","rdkit_fp","Multinomial","0.6117689354145045","0.6146734784461054","0.6140958238054901","0.6065375039919181"
"data_kcnq","SMILE_NB","0.5","rdkit_fp","Multinomial","0.7601549914756113","0.7534170201996978","0.7686022278817044","0.7584457263454313"
"data_kcnq","SMILE_NB","1.0","rdkit_fp","Multinomial","0.6691013443326633","0.6626677795064538","0.6751967556393716","0.6694394978521645"
"data_kcnq","SMILE_NB","2.0","rdkit_fp","Multinomial","0.5553419520378","0.5526138392843881","0.555203273983247","0.5582087428457649"
"data_kcnq","SMILE_NB","0.0","cdk_fp","Multinomial","0.618837990305623","0.6246715319200307","0.6203683695948854","0.6114740694019529"
"data_kcnq","SMILE_NB","0.5","cdk_fp","Multinomial","0.764273741026065","0.763015190099593","0.77034229629711","0.7594637366814923"
"data_kcnq","SMILE_NB","1.0","cdk_fp","Multinomial","0.6769511777050251","0.6733956742046462","0.6824815940767572","0.6749762648336718"
"data_kcnq","SMILE_NB","2.0","cdk_fp","Multinomial","0.5486504438787893","0.5483659049741549","0.5467437439222314","0.5508416827399815"
