"NAME [String]","METHOD [String]","regularizationType [String]","foldSize [Int]","featuresColumn [String]","scalerType [String]","C [Double]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"data_lipinski","SVC_LIN_FP","L2","2000","cdk_fp","Standard","10.0","0.6935498546418972","0.7033730158730158","0.7286821705426356","0.6485943775100401"
"data_herg","SVC_LIN_FP","L1","1000","rdkit_fp","MaxMin","0.001","0.5","0.5","0.5","0.5"
"data_herg","SVC_LIN_FP","L2","1000","rdkit_fp","MaxMin","0.001","0.8562371763603912","0.811755206593162","0.88162150105944","0.8753348214285716"
"data_herg","SVC_LIN_FP","L1","1500","rdkit_fp","MaxMin","0.001","0.5","0.5","0.5","0.5"
"data_herg","SVC_LIN_FP","L2","1500","rdkit_fp","MaxMin","0.001","0.8619825929483227","0.8129246018487583","0.8874763019962082","0.8855468750000014"
"data_herg","SVC_LIN_FP","L1","2000","rdkit_fp","MaxMin","0.001","0.5","0.5","0.5","0.5"
"data_herg","SVC_LIN_FP","L2","2000","rdkit_fp","MaxMin","0.001","0.8609235659943462","0.8089709321750754","0.8934426229508196","0.8803571428571436"
"data_herg","SVC_LIN_FP","L1","1000","cdk_fp","MaxMin","0.001","0.5","0.5","0.5","0.5"
"data_herg","SVC_LIN_FP","L2","1000","cdk_fp","MaxMin","0.001","0.8467603374171565","0.7874484909232654","0.874372699899632","0.878459821428572"
"data_herg","SVC_LIN_FP","L1","1500","cdk_fp","MaxMin","0.001","0.5","0.5","0.5","0.5"
"data_herg","SVC_LIN_FP","L2","1500","cdk_fp","MaxMin","0.001","0.8506041104568176","0.7961911125960579","0.8762685402029664","0.8793526785714285"
"data_herg","SVC_LIN_FP","L1","2000","cdk_fp","MaxMin","0.001","0.5","0.5","0.5","0.5"
"data_herg","SVC_LIN_FP","L2","2000","cdk_fp","MaxMin","0.001","0.8508142104339266","0.7875041764116275","0.8787777406044385","0.8861607142857142"
