"NAME [String]","METHOD [String]","numTrees [Int]","featuresColumn [String]","maxNodes [Int]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"data_herg","SMILE_RFC_DESC","60","rdkit_desc","1000","0.8659689357879065","0.8151798641274085","0.8952269432363108","0.8875000000000002"
"data_herg","SMILE_RFC_DESC","70","rdkit_desc","1000","0.8619218871903218","0.8037643390132533","0.8954499832719972","0.8865513392857147"
"data_herg","SMILE_RFC_DESC","30","cdk_desc","1000","0.881581478317877","0.8298251475665446","0.903312144529943","0.9116071428571436"
"data_herg","SMILE_RFC_DESC","40","cdk_desc","1000","0.8824311329569602","0.8397928499832943","0.8992974238875878","0.9082031249999988"
"data_herg","SMILE_RFC_DESC","50","cdk_desc","1000","0.8818329615801463","0.8419088985410409","0.9048176647708263","0.8987723214285721"
"data_herg","SMILE_RFC_DESC","60","cdk_desc","1000","0.8867985107427847","0.8419645840294016","0.9083863053418088","0.9100446428571438"
"data_herg","SMILE_RFC_DESC","70","cdk_desc","1000","0.8839355755606854","0.8409065597505294","0.9049291847886695","0.9059709821428573"
"data_herg","SMILE_RFC_DESC","30","rdkit_desc","5000","0.8698696588075704","0.8231428889631367","0.8948366231738597","0.891629464285715"
"data_herg","SMILE_RFC_DESC","40","rdkit_desc","5000","0.8594479952705268","0.8059917585477233","0.8891491022638562","0.8832031250000009"
"data_herg","SMILE_RFC_DESC","50","rdkit_desc","5000","0.8639058414769325","0.8141775253368976","0.8916583026653283","0.8858816964285717"
"data_herg","SMILE_RFC_DESC","60","rdkit_desc","5000","0.8698867050896925","0.8240895422652867","0.8982379837180773","0.8873325892857133"
"data_herg","SMILE_RFC_DESC","70","rdkit_desc","5000","0.8672500745502519","0.8203029290566878","0.8903200624512099","0.8911272321428578"
"data_herg","SMILE_RFC_DESC","30","cdk_desc","5000","0.8802722938592634","0.8425214389130189","0.8961191033790564","0.902176339285715"
"data_herg","SMILE_RFC_DESC","40","cdk_desc","5000","0.878974958320069","0.8353936964027182","0.8972343035574886","0.9042968750000004"
"data_herg","SMILE_RFC_DESC","50","cdk_desc","5000","0.8845516753033819","0.8358391803096116","0.9100033456005352","0.9078124999999991"
"data_herg","SMILE_RFC_DESC","60","cdk_desc","5000","0.8824337854765064","0.8347254705423773","0.9028660644585702","0.9097098214285717"
"data_herg","SMILE_RFC_DESC","70","cdk_desc","5000","0.8833784217846111","0.841240672680699","0.9006356641017061","0.9082589285714281"
"data_herg","SMILE_RFC_DESC","30","rdkit_desc","10000","0.8636318225423936","0.8049894197572118","0.8974015835842534","0.8885044642857154"
"data_herg","SMILE_RFC_DESC","40","rdkit_desc","10000","0.8667658948286615","0.8213052678471985","0.8897067023530724","0.889285714285714"
"data_herg","SMILE_RFC_DESC","50","rdkit_desc","10000","0.8637960533440695","0.8117273638489814","0.8913237426117988","0.8883370535714284"
"data_herg","SMILE_RFC_DESC","60","rdkit_desc","10000","0.8671556982588963","0.8211938968704763","0.8931638229062115","0.8871093750000011"
"data_herg","SMILE_RFC_DESC","70","rdkit_desc","10000","0.866263958851663","0.8208040984519442","0.8899297423887588","0.8880580357142855"
"data_herg","SMILE_RFC_DESC","30","cdk_desc","10000","0.880238105471088","0.8380109143557191","0.8967882234861158","0.9059151785714291"
"data_herg","SMILE_RFC_DESC","40","cdk_desc","10000","0.8803679813728609","0.8374540594721014","0.8995762239321958","0.9040736607142855"
"data_herg","SMILE_RFC_DESC","50","cdk_desc","10000","0.8791798277786474","0.8366744626350372","0.8927735028437603","0.9080915178571447"
"data_herg","SMILE_RFC_DESC","60","cdk_desc","10000","0.8835305312204783","0.8341686156587594","0.9071595851455335","0.9092633928571421"
"data_herg","SMILE_RFC_DESC","70","cdk_desc","10000","0.8868154545688399","0.8442476890522329","0.9085535853685736","0.9076450892857135"
"data_malaria","SMILE_RFC_DESC","30","rdkit_desc","1000","0.954077500255178","0.9235057642575145","0.9871386130209661","0.9515881234870537"
"data_malaria","SMILE_RFC_DESC","40","rdkit_desc","1000","0.9600018239537583","0.9384904170728116","0.9885035226211694","0.9530115321672943"
"data_malaria","SMILE_RFC_DESC","50","rdkit_desc","1000","0.9530194452537235","0.9341185506242091","0.9747729394788269","0.9501668456581345"
"data_malaria","SMILE_RFC_DESC","60","rdkit_desc","1000","0.952216715147482","0.926126735789396","0.9699516170104923","0.9605717926425575"
"data_malaria","SMILE_RFC_DESC","70","rdkit_desc","1000","0.9539500320628203","0.927810495164831","0.979244546303414","0.9547950547202156"
"data_malaria","SMILE_RFC_DESC","30","cdk_desc","1000","0.9573461237778348","0.9508017326340318","0.9659621424327864","0.9552744962666861"
"data_malaria","SMILE_RFC_DESC","40","cdk_desc","1000","0.9580908245061015","0.9447850454238595","0.9729258976318415","0.9565615304626034"
"data_malaria","SMILE_RFC_DESC","50","cdk_desc","1000","0.9663632138829139","0.9592809514985836","0.9773873185638229","0.9624213715863351"
"data_malaria","SMILE_RFC_DESC","60","cdk_desc","1000","0.9624966111354318","0.9477819759869056","0.9729225023343628","0.9667853550850272"
"data_malaria","SMILE_RFC_DESC","70","cdk_desc","1000","0.9617258301222115","0.9615904141188519","0.9678906714201746","0.9556964048276079"
"data_malaria","SMILE_RFC_DESC","30","rdkit_desc","5000","0.9476876905756807","0.9219321071697654","0.970793650793722","0.9503373137635547"
"data_malaria","SMILE_RFC_DESC","40","rdkit_desc","5000","0.9547884137949095","0.9282965564838028","0.979635005517382","0.9564336793835435"
"data_malaria","SMILE_RFC_DESC","50","rdkit_desc","5000","0.9564146521828203","0.933492847379347","0.9842322383498849","0.9515188708192289"
"data_malaria","SMILE_RFC_DESC","60","rdkit_desc","5000","0.9545200908628942","0.9244537181004674","0.9792954757660858","0.9598110787221298"
"data_malaria","SMILE_RFC_DESC","70","rdkit_desc","5000","0.9477648700576357","0.9274130527604088","0.9646855105679104","0.9511960468445879"
"data_malaria","SMILE_RFC_DESC","30","cdk_desc","5000","0.963516670607835","0.9539503895203651","0.9707529072235778","0.9658467150795622"
"data_malaria","SMILE_RFC_DESC","40","cdk_desc","5000","0.9585380651601008","0.9427172707522173","0.9689839572193455","0.9639129675087393"
"data_malaria","SMILE_RFC_DESC","50","cdk_desc","5000","0.9620085790625604","0.9538939956656951","0.9735608182667715","0.9585709232552144"
"data_malaria","SMILE_RFC_DESC","60","cdk_desc","5000","0.9605986693867828","0.9517671417177318","0.9695849248791162","0.9604439415635002"
