"NAME [String]","METHOD [String]","degree [Int]","C [Double]","foldSize [Int]","featuresColumn [String]","scalerType [String]","coef0 [Double]","rmse [Double]","rmse_1 [Double]","rmse_2 [Double]","rmse_3 [Double]"
"MouseRatTox","SVR_POLY_FP","2","0.1","1000","cdk_fp","Standard","0.0","1.3405633346081043","1.48122916584265","1.3781806936991363","1.1622801442825261"
"MouseRatTox","SVR_POLY_FP","3","0.1","1000","cdk_fp","Standard","0.0","1.483307413770327","1.5136419616348602","1.4811067388284547","1.4551735408476665"
"MouseRatTox","SVR_POLY_FP","2","1.0","1000","cdk_fp","Standard","0.0","1.3769139280769478","1.4812291658426988","1.378180693699181","1.2713319246889636"
"MouseRatTox","SVR_POLY_FP","3","1.0","1000","cdk_fp","Standard","0.0","1.4690840530088252","1.5136474396795492","1.4811067388259511","1.4124979805209752"
"MouseRatTox","SVR_POLY_FP","2","0.001","1500","cdk_fp","Standard","0.0","1.247628852202667","1.34288866195574","1.2570043741639383","1.1429935204883228"
"MouseRatTox","SVR_POLY_FP","3","0.001","1500","cdk_fp","Standard","0.0","1.5780764805355265","1.6214022516325362","1.5963940465433435","1.5164331434307008"
"MouseRatTox","SVR_POLY_FP","2","0.01","1500","cdk_fp","Standard","0.0","1.3185660958613958","1.4119910587369144","1.376921675143856","1.1667855537034173"
"MouseRatTox","SVR_POLY_FP","3","0.01","1500","cdk_fp","Standard","0.0","1.5780764805349687","1.6214022516324567","1.5963940465434356","1.5164331434290137"
"MouseRatTox","SVR_POLY_FP","2","0.1","1500","cdk_fp","Standard","0.0","1.3188387509276607","1.4119910587369042","1.3769216751438456","1.167603518902232"
"MouseRatTox","SVR_POLY_FP","3","0.1","1500","cdk_fp","Standard","0.0","1.5916196132038472","1.6214022516332138","1.5963940465435071","1.5570625414348205"
"MouseRatTox","SVR_POLY_FP","2","1.0","1500","cdk_fp","Standard","0.0","1.396504911900699","1.411991058736897","1.3769216751438664","1.4006020018213332"
"MouseRatTox","SVR_POLY_FP","3","1.0","1500","cdk_fp","Standard","0.0","1.5897021487336491","1.62140225162383","1.5963940465494058","1.5513101480277118"
"MouseRatTox","SVR_POLY_FP","2","0.001","2000","cdk_fp","Standard","0.0","1.2528964980410178","1.321936014697124","1.2844253665462635","1.1523281128796652"
"MouseRatTox","SVR_POLY_FP","3","0.001","2000","cdk_fp","Standard","0.0","1.5574262188891765","1.595123117177908","1.5013978782832647","1.5757576612063575"
"MouseRatTox","SVR_POLY_FP","2","0.01","2000","cdk_fp","Standard","0.0","1.306030817130022","1.4002465763894991","1.3443817735583692","1.1734641014421971"
"MouseRatTox","SVR_POLY_FP","3","0.01","2000","cdk_fp","Standard","0.0","1.5574262188879902","1.5951231171788174","1.501397878283179","1.5757576612019741"
"MouseRatTox","SVR_POLY_FP","2","0.1","2000","cdk_fp","Standard","0.0","1.3064408102069367","1.4002465763894802","1.3443817735583612","1.1746940806729687"
"MouseRatTox","SVR_POLY_FP","3","0.1","2000","cdk_fp","Standard","0.0","1.5574262188846826","1.5951231171780642","1.5013978782840103","1.5757576611919732"
"MouseRatTox","SVR_POLY_FP","2","1.0","2000","cdk_fp","Standard","0.0","1.3967629203610386","1.4002465763895273","1.3443817735583943","1.4456604111351932"
"MouseRatTox","SVR_POLY_FP","3","1.0","2000","cdk_fp","Standard","0.0","1.5574262189624566","1.5951231172073295","1.501397878276415","1.5757576614036253"
"MouseRatTox","SVR_POLY_FP","2","0.001","1000","rdkit_fp","MaxMin","2.0","1.2675473657948944","1.3539904445468567","1.2386048823363143","1.2100467705015119"
"MouseRatTox","SVR_POLY_FP","3","0.001","1000","rdkit_fp","MaxMin","2.0","1.236381705401998","1.331794677643191","1.1827039731044815","1.194646465458322"
"MouseRatTox","SVR_POLY_FP","2","0.01","1000","rdkit_fp","MaxMin","2.0","1.1903009335834518","1.2902303008408573","1.1400479755211066","1.1406245243883917"
"MouseRatTox","SVR_POLY_FP","3","0.01","1000","rdkit_fp","MaxMin","2.0","1.2292699279814034","1.3283066191505424","1.1798036612775862","1.1796995035160818"
"MouseRatTox","SVR_POLY_FP","2","0.1","1000","rdkit_fp","MaxMin","2.0","1.2076604275454983","1.3376961851742575","1.1539595847099995","1.131325512752238"
"MouseRatTox","SVR_POLY_FP","3","0.1","1000","rdkit_fp","MaxMin","2.0","1.3513269116335787","1.6213175008203407","1.2573572035457878","1.1753060305346077"
"MouseRatTox","SVR_POLY_FP","2","1.0","1000","rdkit_fp","MaxMin","2.0","1.2892703393302407","1.4780808228033002","1.2266895248613108","1.1630406703261114"
"MouseRatTox","SVR_POLY_FP","3","1.0","1000","rdkit_fp","MaxMin","2.0","1.5096861198150542","1.8490773839714667","1.3624103131761225","1.3175706622975731"
"MouseRatTox","SVR_POLY_FP","2","0.001","1500","rdkit_fp","MaxMin","2.0","1.2639770448733916","1.3512914618639034","1.2357111149289173","1.2049285578273539"
"MouseRatTox","SVR_POLY_FP","3","0.001","1500","rdkit_fp","MaxMin","2.0","1.2512510490841076","1.3362732230029344","1.1824522641614497","1.2350276600879382"
"MouseRatTox","SVR_POLY_FP","2","0.01","1500","rdkit_fp","MaxMin","2.0","1.1983860013634342","1.3068884676579884","1.1403663351743274","1.1479032012579873"
"MouseRatTox","SVR_POLY_FP","3","0.01","1500","rdkit_fp","MaxMin","2.0","1.3502570053069451","1.5879953823158541","1.1769309000425958","1.285844733562385"
"MouseRatTox","SVR_POLY_FP","2","0.1","1500","rdkit_fp","MaxMin","2.0","1.2508055136321872","1.4700757675401894","1.1512038271979341","1.131136946158438"
"MouseRatTox","SVR_POLY_FP","3","0.1","1500","rdkit_fp","MaxMin","2.0","1.5298611415850967","1.869009172560639","1.2463553740907034","1.4742188781039478"
"MouseRatTox","SVR_POLY_FP","2","1.0","1500","rdkit_fp","MaxMin","2.0","1.3399617327804194","1.5476239786940382","1.2172818245912906","1.2549793950559294"
"MouseRatTox","SVR_POLY_FP","3","1.0","1500","rdkit_fp","MaxMin","2.0","1.7245940808680726","2.092015162416506","1.5421154178952003","1.5396516622925118"
