"NAME [String]","METHOD [String]","C [Double]","coef0 [Double]","featuresColumn [String]","degree [Int]","rmse [Double]","rmse_1 [Double]","rmse_2 [Double]","rmse_3 [Double]"
"Caco2","SVR_TAN","10.0","3.0","cdk_fp","4","0.6218554697333124","0.6019388901857708","0.6059090685582565","0.6577184504559097"
"Caco2","SVR_TAN","0.001","0.0","rdkit_fp","5","0.8566808318951568","0.9191831661240834","0.8101665654313187","0.8406927641300683"
"Caco2","SVR_TAN","0.01","0.0","rdkit_fp","5","0.8547200161351896","0.9156562138212992","0.8087040099685959","0.8397998246156737"
"Caco2","SVR_TAN","0.1","0.0","rdkit_fp","5","0.8292449274023882","0.8832663048770897","0.7813538256007492","0.8231146517293256"
"Caco2","SVR_TAN","1.0","0.0","rdkit_fp","5","0.7108905654252767","0.7255455251995973","0.6434130042506448","0.7637131668255883"
"Caco2","SVR_TAN","10.0","0.0","rdkit_fp","5","0.7060340905630723","0.7126574507187717","0.642456869947586","0.7629879510228589"
"Caco2","SVR_TAN","0.001","1.0","rdkit_fp","5","0.8490476110349788","0.9041121600466011","0.8046713696212038","0.8383593034371316"
"Caco2","SVR_TAN","0.01","1.0","rdkit_fp","5","0.7657620904322117","0.8048159740277572","0.7104128335008544","0.7820574637680237"
"Caco2","SVR_TAN","0.1","1.0","rdkit_fp","5","0.6622640160164731","0.6529117396178784","0.6199142290127863","0.7139660794187549"
"Caco2","SVR_TAN","1.0","1.0","rdkit_fp","5","0.6618095226276823","0.6529117396178784","0.6199142290127863","0.7126025992523823"
"Caco2","SVR_TAN","10.0","1.0","rdkit_fp","5","0.6618095226276823","0.6529117396178784","0.6199142290127863","0.7126025992523823"
"Caco2","SVR_TAN","0.001","2.0","rdkit_fp","5","0.7924153829600554","0.8342810263421144","0.7393370272258987","0.8036280953121532"
"Caco2","SVR_TAN","0.01","2.0","rdkit_fp","5","0.6471394482253024","0.6329030619321294","0.6144962881484477","0.6940189945953305"
"Caco2","SVR_TAN","0.1","2.0","rdkit_fp","5","0.6489831747463417","0.6371812135555769","0.6149472128443795","0.6948210978390686"
"Caco2","SVR_TAN","1.0","2.0","rdkit_fp","5","0.6489831747463417","0.6371812135555769","0.6149472128443795","0.6948210978390686"
"Caco2","SVR_TAN","10.0","2.0","rdkit_fp","5","0.6489831747463417","0.6371812135555769","0.6149472128443795","0.6948210978390686"
"Caco2","SVR_TAN","0.001","3.0","rdkit_fp","5","0.6980123469123584","0.7178231726972472","0.6542137289225345","0.7220001391172935"
"Caco2","SVR_TAN","0.01","3.0","rdkit_fp","5","0.6434155123596762","0.6304327194300265","0.613279913981207","0.686533903667795"
