"NAME [String]","METHOD [String]","gamma [Double]","scalerType [String]","featuresColumn [String]","C [Double]","rmse [Double]","rmse_1 [Double]","rmse_2 [Double]","rmse_3 [Double]"
"MouseRatTox","SVR_RBF_DESC","0.1","Standard","cdk_desc","0.01","1.4011054234517168","1.4540354173135643","1.4210483511579175","1.3282325018836685"
"MouseRatTox","SVR_RBF_DESC","1.0","Standard","cdk_desc","0.01","1.4042087867285993","1.4576223339213787","1.4233828637037957","1.331621162560623"
"MouseRatTox","SVR_RBF_DESC","1.0E-4","MaxMin","rdkit_desc","0.1","1.4037301242672147","1.4569884761384901","1.423195143204323","1.3310067534588312"
"MouseRatTox","SVR_RBF_DESC","0.001","MaxMin","rdkit_desc","0.1","1.4025475485455736","1.454222647963574","1.423422890571456","1.3299971071016903"
"MouseRatTox","SVR_RBF_DESC","0.01","MaxMin","rdkit_desc","0.1","1.3915307705965843","1.4434081917916575","1.4127186266563583","1.3184654933417368"
"MouseRatTox","SVR_RBF_DESC","0.1","MaxMin","rdkit_desc","0.1","1.3389518224502062","1.3971770510830228","1.3561446101143024","1.2635338061532937"
"MouseRatTox","SVR_RBF_DESC","1.0","MaxMin","rdkit_desc","0.1","1.2993636530837105","1.3690802736526408","1.3039034824237388","1.2251072031747516"
"MouseRatTox","SVR_RBF_DESC","1.0E-4","Standard","rdkit_desc","0.1","1.3995515218374432","1.4506910107934718","1.4215694611239678","1.3263940935948906"
"MouseRatTox","SVR_RBF_DESC","0.001","Standard","rdkit_desc","0.1","1.377284613892531","1.4345815788656529","1.3939228764122948","1.303349386399645"
"MouseRatTox","SVR_RBF_DESC","0.01","Standard","rdkit_desc","0.1","1.3191184973600085","1.381927707159161","1.333380545848088","1.242047239072776"
"MouseRatTox","SVR_RBF_DESC","0.1","Standard","rdkit_desc","0.1","1.3653601426509272","1.416943771807213","1.3848587289569811","1.2942779271885878"
"MouseRatTox","SVR_RBF_DESC","1.0","Standard","rdkit_desc","0.1","1.4016632802729214","1.455279272585431","1.419170635011952","1.3305399332213812"
"MouseRatTox","SVR_RBF_DESC","1.0E-4","MaxMin","cdk_desc","0.1","1.4036932888721159","1.4569267712287342","1.4231520970025333","1.3310009983850801"
"MouseRatTox","SVR_RBF_DESC","0.001","MaxMin","cdk_desc","0.1","1.4020543668956644","1.453328878710676","1.4223908453345482","1.330443376641769"
"MouseRatTox","SVR_RBF_DESC","0.01","MaxMin","cdk_desc","0.1","1.3874027094893415","1.4357532556741972","1.4088393747306005","1.3176154980632264"
"MouseRatTox","SVR_RBF_DESC","0.1","MaxMin","cdk_desc","0.1","1.334230493268393","1.3680474190372929","1.363170410111931","1.2714736506559556"
"MouseRatTox","SVR_RBF_DESC","1.0","MaxMin","cdk_desc","0.1","1.3118321383997296","1.36486364980521","1.3223334431203317","1.2482993222736471"
"MouseRatTox","SVR_RBF_DESC","1.0E-4","Standard","cdk_desc","0.1","1.4002143303925398","1.4506913254298954","1.4220171453457915","1.3279345204019324"
"MouseRatTox","SVR_RBF_DESC","0.001","Standard","cdk_desc","0.1","1.3749796772102358","1.4274508865518465","1.390462382093071","1.3070257629857893"
