"NAME [String]","METHOD [String]","C [Double]","featuresColumn [String]","scalerType [String]","rmse [Double]","rmse_1 [Double]","rmse_2 [Double]","rmse_3 [Double]"
"Caco2","SVR_LIN_DESC","0.001","rdkit_desc","Standard","5.199318765292823","5.295421341967671","5.109914790154012","5.192620163756787"
"Caco2","SVR_LIN_DESC","0.01","rdkit_desc","Standard","5.2153404813224755","5.254099755805211","5.186256719648411","5.205664968513803"
"Caco2","SVR_LIN_DESC","0.1","rdkit_desc","Standard","5.268984751204644","5.320309627088453","5.357080568101648","5.12956405842383"
"Caco2","SVR_LIN_DESC","1.0","rdkit_desc","Standard","5.38682885219701","5.512273635050985","5.616151908313226","5.032061013226819"
"Caco2","SVR_LIN_DESC","1.0E-4","cdk_desc","Standard","5.213303005604754","5.391564144080657","5.121391148352917","5.126953724380688"
"Caco2","SVR_LIN_DESC","0.001","cdk_desc","Standard","5.212553534771291","5.323886674974922","5.135693575296825","5.178080354042124"
"Caco2","SVR_LIN_DESC","0.01","cdk_desc","Standard","5.245252127884036","5.309309946138211","5.207531141735765","5.218915295778131"
"Caco2","SVR_LIN_DESC","0.1","cdk_desc","Standard","5.297280419035626","5.39374261591143","5.281377881529013","5.216720759666437"
"Caco2","SVR_LIN_DESC","1.0","cdk_desc","Standard","5.390598511439652","5.4895331623943076","5.48532994954935","5.196932422375298"
"LogP","SVR_LIN_DESC","1.0E-4","rdkit_desc","MaxMin","2.0596341360661063","1.999717642154791","2.049014067767001","2.1301706982765265"
"LogP","SVR_LIN_DESC","0.001","rdkit_desc","MaxMin","1.3573197193704682","1.2765584865290858","1.3440488042242422","1.4513518673580763"
"LogP","SVR_LIN_DESC","0.01","rdkit_desc","MaxMin","0.837683497575426","0.7799932282658176","0.8412661918670666","0.8917910725933942"
"LogP","SVR_LIN_DESC","0.1","rdkit_desc","MaxMin","0.6681675053388062","0.6290160622607055","0.6892768719437394","0.6862095818119737"
"LogP","SVR_LIN_DESC","1.0","rdkit_desc","MaxMin","0.6413457377448678","0.6035171507213472","0.6672900197332255","0.6532300427800307"
"LogP","SVR_LIN_DESC","1.0E-4","cdk_desc","MaxMin","1.8502561962638262","1.774640040432074","1.8614991958260347","1.9146293525333697"
"LogP","SVR_LIN_DESC","0.001","cdk_desc","MaxMin","1.404932448526848","1.3147022006839961","1.3838072048475791","1.5162879400489686"
"LogP","SVR_LIN_DESC","0.01","cdk_desc","MaxMin","0.8746738569269726","0.7861772657539785","0.8706908142300289","0.9671534907969106"
"LogP","SVR_LIN_DESC","0.1","cdk_desc","MaxMin","0.6300046539627792","0.5630357689147384","0.6713077320405793","0.6556704609330201"
"LogP","SVR_LIN_DESC","1.0","cdk_desc","MaxMin","0.5645107575355671","0.5102531266186724","0.6056716905057894","0.5776074554822398"
"LogP","SVR_LIN_DESC","1.0E-4","rdkit_desc","Standard","2.114223494951139","2.1088793976829114","2.0953015392261753","2.1384895479443315"
"LogP","SVR_LIN_DESC","0.001","rdkit_desc","Standard","2.0277486405684786","2.033798720744599","2.0122472015428037","2.0371999994180325"
