"NAME [String]","METHOD [String]","foldSize [Int]","elasticNetParam [Double]","scalerType [String]","featuresColumn [String]","maxIter [Int]","lambda [Double]","rmse [Double]","rmse_1 [Double]","rmse_2 [Double]","rmse_3 [Double]"
"ADMECaco2","LR_EL_FOLD_FP","500","0.75","Standard","cdk_fp","10","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","1000","0.75","Standard","cdk_fp","10","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","1500","0.75","Standard","cdk_fp","10","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","2000","0.75","Standard","cdk_fp","10","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","500","1.0","Standard","cdk_fp","10","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","1000","1.0","Standard","cdk_fp","10","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","1500","1.0","Standard","cdk_fp","10","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","2000","1.0","Standard","cdk_fp","10","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","500","0.0","MaxMin","rdkit_fp","100","1.0","0.6286405697191865","0.6089060701401491","0.6717680314657989","0.6052476075516113"
"ADMECaco2","LR_EL_FOLD_FP","1000","0.0","MaxMin","rdkit_fp","100","1.0","0.6255342950039832","0.5852318343952574","0.6947539969877883","0.5966170536289039"
"ADMECaco2","LR_EL_FOLD_FP","1500","0.0","MaxMin","rdkit_fp","100","1.0","0.6352755921583823","0.6145831456806989","0.678860229123023","0.6123834016714247"
"ADMECaco2","LR_EL_FOLD_FP","2000","0.0","MaxMin","rdkit_fp","100","1.0","0.6467027726786171","0.6116186619688471","0.7056803932443403","0.6228092628226638"
"ADMECaco2","LR_EL_FOLD_FP","500","0.25","MaxMin","rdkit_fp","100","1.0","0.771513235447498","0.7454544606467574","0.8264061167751922","0.7426791289205444"
"ADMECaco2","LR_EL_FOLD_FP","1000","0.25","MaxMin","rdkit_fp","100","1.0","0.7620835690121598","0.7333852691334303","0.8132133422839197","0.7396520956191294"
"ADMECaco2","LR_EL_FOLD_FP","1500","0.25","MaxMin","rdkit_fp","100","1.0","0.76153697433517","0.734345124563287","0.8149956560780949","0.7352701423641281"
"ADMECaco2","LR_EL_FOLD_FP","2000","0.25","MaxMin","rdkit_fp","100","1.0","0.7590448962836761","0.7318507019962098","0.8159347162107543","0.7293492706440643"
"ADMECaco2","LR_EL_FOLD_FP","500","0.5","MaxMin","rdkit_fp","100","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","1000","0.5","MaxMin","rdkit_fp","100","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","1500","0.5","MaxMin","rdkit_fp","100","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","2000","0.5","MaxMin","rdkit_fp","100","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","500","0.75","MaxMin","rdkit_fp","100","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","1000","0.75","MaxMin","rdkit_fp","100","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","1500","0.75","MaxMin","rdkit_fp","100","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","2000","0.75","MaxMin","rdkit_fp","100","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","500","1.0","MaxMin","rdkit_fp","100","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","1000","1.0","MaxMin","rdkit_fp","100","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","1500","1.0","MaxMin","rdkit_fp","100","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","2000","1.0","MaxMin","rdkit_fp","100","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","500","0.0","Standard","rdkit_fp","100","1.0","0.6286405697191865","0.6089060701401493","0.6717680314657987","0.6052476075516117"
"ADMECaco2","LR_EL_FOLD_FP","1000","0.0","Standard","rdkit_fp","100","1.0","0.6255342950039834","0.5852318343952577","0.6947539969877886","0.5966170536289039"
"ADMECaco2","LR_EL_FOLD_FP","1500","0.0","Standard","rdkit_fp","100","1.0","0.6352755921583823","0.614583145680699","0.6788602291230231","0.6123834016714247"
"ADMECaco2","LR_EL_FOLD_FP","2000","0.0","Standard","rdkit_fp","100","1.0","0.6467027726786171","0.6116186619688475","0.7056803932443414","0.6228092628226626"
"ADMECaco2","LR_EL_FOLD_FP","500","0.25","Standard","rdkit_fp","100","1.0","0.7715132354474981","0.7454544606467575","0.8264061167751922","0.7426791289205444"
"ADMECaco2","LR_EL_FOLD_FP","1000","0.25","Standard","rdkit_fp","100","1.0","0.7620835690121597","0.7333852691334304","0.8132133422839195","0.7396520956191293"
"ADMECaco2","LR_EL_FOLD_FP","1500","0.25","Standard","rdkit_fp","100","1.0","0.76153697433517","0.7343451245632869","0.8149956560780949","0.7352701423641281"
"ADMECaco2","LR_EL_FOLD_FP","2000","0.25","Standard","rdkit_fp","100","1.0","0.7590448962836761","0.7318507019962098","0.8159347162107543","0.7293492706440642"
"ADMECaco2","LR_EL_FOLD_FP","500","0.5","Standard","rdkit_fp","100","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","1000","0.5","Standard","rdkit_fp","100","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","1500","0.5","Standard","rdkit_fp","100","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","2000","0.5","Standard","rdkit_fp","100","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","500","0.75","Standard","rdkit_fp","100","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","1000","0.75","Standard","rdkit_fp","100","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","1500","0.75","Standard","rdkit_fp","100","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","2000","0.75","Standard","rdkit_fp","100","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","500","1.0","Standard","rdkit_fp","100","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","1000","1.0","Standard","rdkit_fp","100","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","1500","1.0","Standard","rdkit_fp","100","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","2000","1.0","Standard","rdkit_fp","100","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","500","0.0","MaxMin","cdk_fp","100","1.0","0.6285951184953243","0.599849864680135","0.6704256372362494","0.6155098535695889"
"ADMECaco2","LR_EL_FOLD_FP","1000","0.0","MaxMin","cdk_fp","100","1.0","0.6260370425428489","0.6072071382726315","0.6738871992817372","0.5970167900741778"
"ADMECaco2","LR_EL_FOLD_FP","1500","0.0","MaxMin","cdk_fp","100","1.0","0.6362338390504231","0.6106431307724473","0.686300270213166","0.6117581161656558"
"ADMECaco2","LR_EL_FOLD_FP","2000","0.0","MaxMin","cdk_fp","100","1.0","0.6378464871426597","0.6148639873783397","0.695135255260721","0.6035402187889182"
"ADMECaco2","LR_EL_FOLD_FP","500","0.25","MaxMin","cdk_fp","100","1.0","0.7737856237371147","0.7386901742953892","0.8270453260857987","0.7556213708301561"
"ADMECaco2","LR_EL_FOLD_FP","1000","0.25","MaxMin","cdk_fp","100","1.0","0.7678229240901798","0.7319833135768441","0.8266330463378222","0.7448524123558734"
"ADMECaco2","LR_EL_FOLD_FP","1500","0.25","MaxMin","cdk_fp","100","1.0","0.7646906863696653","0.7306798080628342","0.8208972665970016","0.7424949844491601"
"ADMECaco2","LR_EL_FOLD_FP","2000","0.25","MaxMin","cdk_fp","100","1.0","0.7668907346783161","0.7323520587910664","0.8245400213400492","0.7437801239038333"
"ADMECaco2","LR_EL_FOLD_FP","500","0.5","MaxMin","cdk_fp","100","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","1000","0.5","MaxMin","cdk_fp","100","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","1500","0.5","MaxMin","cdk_fp","100","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","2000","0.5","MaxMin","cdk_fp","100","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","500","0.75","MaxMin","cdk_fp","100","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","1000","0.75","MaxMin","cdk_fp","100","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","1500","0.75","MaxMin","cdk_fp","100","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","2000","0.75","MaxMin","cdk_fp","100","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","500","1.0","MaxMin","cdk_fp","100","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","1000","1.0","MaxMin","cdk_fp","100","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","1500","1.0","MaxMin","cdk_fp","100","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","2000","1.0","MaxMin","cdk_fp","100","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","500","0.0","Standard","cdk_fp","100","1.0","0.6285951184953245","0.5998498646801352","0.6704256372362493","0.6155098535695888"
"ADMECaco2","LR_EL_FOLD_FP","1000","0.0","Standard","cdk_fp","100","1.0","0.626037042542849","0.6072071382726312","0.6738871992817377","0.5970167900741781"
"ADMECaco2","LR_EL_FOLD_FP","1500","0.0","Standard","cdk_fp","100","1.0","0.6362338390504231","0.6106431307724476","0.6863002702131658","0.611758116165656"
"ADMECaco2","LR_EL_FOLD_FP","2000","0.0","Standard","cdk_fp","100","1.0","0.6378464871426596","0.6148639873783397","0.6951352552607208","0.6035402187889181"
"ADMECaco2","LR_EL_FOLD_FP","500","0.25","Standard","cdk_fp","100","1.0","0.7737856237371147","0.7386901742953894","0.8270453260857988","0.755621370830156"
"ADMECaco2","LR_EL_FOLD_FP","1000","0.25","Standard","cdk_fp","100","1.0","0.7678229240901798","0.731983313576844","0.8266330463378222","0.7448524123558734"
"ADMECaco2","LR_EL_FOLD_FP","1500","0.25","Standard","cdk_fp","100","1.0","0.7646906863696653","0.7306798080628341","0.8208972665970015","0.7424949844491601"
"ADMECaco2","LR_EL_FOLD_FP","2000","0.25","Standard","cdk_fp","100","1.0","0.7668907346783161","0.7323520587910662","0.8245400213400491","0.7437801239038333"
"ADMECaco2","LR_EL_FOLD_FP","500","0.5","Standard","cdk_fp","100","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","1000","0.5","Standard","cdk_fp","100","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","1500","0.5","Standard","cdk_fp","100","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","2000","0.5","Standard","cdk_fp","100","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
"ADMECaco2","LR_EL_FOLD_FP","500","0.75","Standard","cdk_fp","100","1.0","0.7842415689921345","0.758317402710888","0.8295484597853163","0.7648588444801993"
