"NAME [String]","METHOD [String]","C [Double]","offset [Double]","featuresColumn [String]","degree [Int]","rmse [Double]","rmse_1 [Double]","rmse_2 [Double]","rmse_3 [Double]"
"MouseRatTox","SMILE_SVR_TAN","1.0","3.0","cdk_fp","2","1.1958514570399466","1.3146426319467248","1.1799057027931315","1.0930060363799836"
"MouseRatTox","SMILE_SVR_TAN","10.0","3.0","cdk_fp","2","1.2004904233723535","1.338780305877987","1.168696120290631","1.093994843948442"
"MouseRatTox","SMILE_SVR_TAN","0.001","0.0","rdkit_fp","3","1.3713750195886931","1.445314927897119","1.3458848241044459","1.3229253067645146"
"MouseRatTox","SMILE_SVR_TAN","0.01","0.0","rdkit_fp","3","1.3613345988084185","1.436113216975644","1.33434201483856","1.313548564611051"
"MouseRatTox","SMILE_SVR_TAN","0.1","0.0","rdkit_fp","3","1.3014379504185511","1.3719234508360063","1.2869988703225264","1.2453915300971208"
"MouseRatTox","SMILE_SVR_TAN","1.0","0.0","rdkit_fp","3","1.2182149518901266","1.2861663760678257","1.2167457360339977","1.1517327435685567"
"MouseRatTox","SMILE_SVR_TAN","10.0","0.0","rdkit_fp","3","1.1796805709476577","1.3030878688438963","1.123071286674687","1.11288255732439"
"MouseRatTox","SMILE_SVR_TAN","0.001","1.0","rdkit_fp","3","1.3581620410443227","1.4337590582029056","1.3311892889050574","1.3095377760250047"
"MouseRatTox","SMILE_SVR_TAN","0.01","1.0","rdkit_fp","3","1.3075499143592706","1.371633875228473","1.303271001435499","1.24774486641384"
"MouseRatTox","SMILE_SVR_TAN","0.1","1.0","rdkit_fp","3","1.2453775927596997","1.2891413442730018","1.2683075480998778","1.1786838859062199"
"MouseRatTox","SMILE_SVR_TAN","1.0","1.0","rdkit_fp","3","1.171616628411724","1.2975746308824758","1.112756104707836","1.1045191496448603"
"MouseRatTox","SMILE_SVR_TAN","10.0","1.0","rdkit_fp","3","1.16966319956321","1.3096700701354214","1.1008908222052778","1.0984287063489309"
"MouseRatTox","SMILE_SVR_TAN","0.001","2.0","rdkit_fp","3","1.3398199181503967","1.4123641656301191","1.317431992638803","1.289663596182268"
"MouseRatTox","SMILE_SVR_TAN","0.01","2.0","rdkit_fp","3","1.281207913305253","1.3299846688286272","1.2951979790334769","1.2184410920536548"
"MouseRatTox","SMILE_SVR_TAN","0.1","2.0","rdkit_fp","3","1.2092973529425224","1.288746687552854","1.1962272400598697","1.1429181312148438"
"MouseRatTox","SMILE_SVR_TAN","1.0","2.0","rdkit_fp","3","1.1693158750588573","1.31517894716643","1.096515312984409","1.0962533650257325"
"MouseRatTox","SMILE_SVR_TAN","10.0","2.0","rdkit_fp","3","1.169177244280421","1.3151789471664352","1.0953454034390666","1.0970073822357607"
