"NAME [String]","METHOD [String]","numTrees [Int]","featuresColumn [String]","foldSize [Int]","maxNodes [Int]","rmse [Double]","rmse_1 [Double]","rmse_2 [Double]","rmse_3 [Double]"
"Caco2","SMILE_RFR_FP","40","cdk_fp","1000","1000","0.6714675416021655","0.6526462980704238","0.6117145755980394","0.7500417511380332"
"Caco2","SMILE_RFR_FP","50","cdk_fp","1000","1000","0.6841333799016884","0.6701250589852003","0.6382908941316839","0.7439841865881811"
"Caco2","SMILE_RFR_FP","60","cdk_fp","1000","1000","0.6806770765719087","0.6609645019044238","0.6432073834174366","0.7378593443938657"
"Caco2","SMILE_RFR_FP","70","cdk_fp","1000","1000","0.660179192152652","0.6532890649342936","0.5953624355207361","0.7318860760029264"
"Caco2","SMILE_RFR_FP","30","rdkit_fp","2000","1000","0.6970516962022936","0.7215838878413297","0.6502421289122506","0.7193290718533001"
"Caco2","SMILE_RFR_FP","40","rdkit_fp","2000","1000","0.6998526886796835","0.7275370078088218","0.6565411336218874","0.7154799246083415"
"Caco2","SMILE_RFR_FP","50","rdkit_fp","2000","1000","0.6839403507486845","0.7039632427041991","0.634950329296881","0.7129074802449735"
"Caco2","SMILE_RFR_FP","60","rdkit_fp","2000","1000","0.6807169000086732","0.6942446771691756","0.6290599770395171","0.7188460458173271"
"Caco2","SMILE_RFR_FP","70","rdkit_fp","2000","1000","0.696045446559525","0.685236982763429","0.6595614166405538","0.7433379402745922"
"Caco2","SMILE_RFR_FP","30","cdk_fp","2000","1000","0.6734929006128562","0.6687947233793313","0.6194395245496468","0.7322444539095905"
"Caco2","SMILE_RFR_FP","40","cdk_fp","2000","1000","0.6783572333015311","0.6535926352043069","0.6420266978718165","0.7394523668284699"
"Caco2","SMILE_RFR_FP","50","cdk_fp","2000","1000","0.6764679681948388","0.6579547932132342","0.6395068449198592","0.7319422664514231"
"Caco2","SMILE_RFR_FP","60","cdk_fp","2000","1000","0.6786461890239718","0.6667633755863118","0.6070258029463893","0.7621493885392145"
"Caco2","SMILE_RFR_FP","70","cdk_fp","2000","1000","0.672818931949558","0.6618681558259865","0.6257671222197027","0.730821517802985"
"Caco2","SMILE_RFR_FP","30","rdkit_fp","500","5000","0.7262856488724432","0.7518461412954309","0.6625620596599526","0.7644487456619461"
"Caco2","SMILE_RFR_FP","40","rdkit_fp","500","5000","0.7160627976536919","0.7388869414609436","0.6546724129052198","0.7546290385949123"
"Caco2","SMILE_RFR_FP","50","rdkit_fp","500","5000","0.7077369024589687","0.7237468839625448","0.6590987055195567","0.7403651178948049"
"Caco2","SMILE_RFR_FP","60","rdkit_fp","500","5000","0.7106871012217301","0.7354273171120101","0.652497481824499","0.7441365047286812"
"Caco2","SMILE_RFR_FP","70","rdkit_fp","500","5000","0.7179631585241114","0.731663070727237","0.673462762823631","0.7487636420214664"
"Caco2","SMILE_RFR_FP","30","cdk_fp","500","5000","0.6790949308249484","0.690718811785246","0.5891526126591107","0.7574133680304888"
"Caco2","SMILE_RFR_FP","40","cdk_fp","500","5000","0.6873738125697356","0.7045966938534223","0.6153244038844419","0.7422003399713426"
"Caco2","SMILE_RFR_FP","50","cdk_fp","500","5000","0.6989259728955708","0.7041752109867685","0.6225961051981038","0.7700066025018399"
"Caco2","SMILE_RFR_FP","60","cdk_fp","500","5000","0.6864068918529135","0.6775838236602127","0.5968030041084845","0.7848338477900428"
