"NAME [String]","METHOD [String]","gamma [Double]","scalerType [String]","featuresColumn [String]","C [Double]","rmse [Double]","rmse_1 [Double]","rmse_2 [Double]","rmse_3 [Double]"
"MouseRatTox","SMILE_SVR_RBF","0.01","Standard","cdk_desc","0.001","1.4026716102093992","1.4552567596659345","1.422206127674802","1.3305519432874608"
"MouseRatTox","SMILE_SVR_RBF","0.1","Standard","cdk_desc","0.001","1.4036734164370068","1.4570048819903954","1.423076770654198","1.3309385966664269"
"MouseRatTox","SMILE_SVR_RBF","1.0","Standard","cdk_desc","0.001","1.4039656473045994","1.4573604031895457","1.4234184772787852","1.3311180614454674"
"MouseRatTox","SMILE_SVR_RBF","1.0E-4","MaxMin","rdkit_fp","0.01","1.4038879570229446","1.4573062572304716","1.4232559924707096","1.331101621367653"
"MouseRatTox","SMILE_SVR_RBF","0.001","MaxMin","rdkit_fp","0.01","1.4035687598514883","1.4567499146028928","1.42302677446846","1.330929590483112"
"MouseRatTox","SMILE_SVR_RBF","0.01","MaxMin","rdkit_fp","0.01","1.4004717464607264","1.4513051620309243","1.4208096536056591","1.329300423745595"
"MouseRatTox","SMILE_SVR_RBF","0.1","MaxMin","rdkit_fp","0.01","1.3935306497899738","1.4390285789725472","1.4160955969187337","1.3254677734786402"
"MouseRatTox","SMILE_SVR_RBF","1.0","MaxMin","rdkit_fp","0.01","1.4028402261086388","1.4558892583788847","1.422233839575538","1.3303975803714931"
"MouseRatTox","SMILE_SVR_RBF","1.0E-4","Standard","rdkit_fp","0.01","1.4019648423379383","1.4543604468836433","1.4217332952094797","1.3298007849206912"
"MouseRatTox","SMILE_SVR_RBF","0.001","Standard","rdkit_fp","0.01","1.4022999856566758","1.4526925630670975","1.4205999931071733","1.3336074007957568"
"MouseRatTox","SMILE_SVR_RBF","0.01","Standard","rdkit_fp","0.01","1.4025682922793299","1.4558055338029725","1.421497603300063","1.3304017397349541"
"MouseRatTox","SMILE_SVR_RBF","0.1","Standard","rdkit_fp","0.01","1.4039965231003093","1.4572894757981028","1.4235058821704993","1.3311942113323258"
"MouseRatTox","SMILE_SVR_RBF","1.0","Standard","rdkit_fp","0.01","1.4041163149609668","1.4575179239255744","1.4234450617039847","1.3313859592533412"
"MouseRatTox","SMILE_SVR_RBF","1.0E-4","MaxMin","cdk_fp","0.01","1.4038855384293196","1.4573018433555927","1.423253285549422","1.3311014863829438"
"MouseRatTox","SMILE_SVR_RBF","0.001","MaxMin","cdk_fp","0.01","1.4035458689793678","1.4567076300347388","1.42300236910656","1.3309276077968046"
"MouseRatTox","SMILE_SVR_RBF","0.01","MaxMin","cdk_fp","0.01","1.4003779968760164","1.450982412860883","1.4207617615978745","1.3293898161692919"
"MouseRatTox","SMILE_SVR_RBF","0.1","MaxMin","cdk_fp","0.01","1.3932379019210295","1.437897783710245","1.4175100671769532","1.3243058548758904"
"MouseRatTox","SMILE_SVR_RBF","1.0","MaxMin","cdk_fp","0.01","1.403111948960514","1.4561514993223241","1.4228441524793394","1.3303401950798783"
"MouseRatTox","SMILE_SVR_RBF","1.0E-4","Standard","cdk_fp","0.01","1.4024210198776874","1.4549785855730388","1.4222533148780905","1.3300311591819332"
"MouseRatTox","SMILE_SVR_RBF","0.001","Standard","cdk_fp","0.01","1.4016780327841163","1.4526231154921014","1.4213800483220624","1.3310309345381846"
"MouseRatTox","SMILE_SVR_RBF","0.01","Standard","cdk_fp","0.01","1.4032033451358823","1.4566567375353443","1.4228194507255527","1.3301338471467499"
"MouseRatTox","SMILE_SVR_RBF","0.1","Standard","cdk_fp","0.01","1.403993388097451","1.4573232345778193","1.4236007824363792","1.331056147278154"
"MouseRatTox","SMILE_SVR_RBF","1.0","Standard","cdk_fp","0.01","1.4041260896786714","1.4575272679036946","1.4234635089523573","1.3313874921799616"
"MouseRatTox","SMILE_SVR_RBF","1.0E-4","MaxMin","rdkit_desc","0.01","1.4039041054512047","1.4573299051087654","1.423272728543587","1.3311096827012614"
"MouseRatTox","SMILE_SVR_RBF","0.001","MaxMin","rdkit_desc","0.01","1.403733058829241","1.4569966080663728","1.4231947401998706","1.3310078282214797"
"MouseRatTox","SMILE_SVR_RBF","0.01","MaxMin","rdkit_desc","0.01","1.4027051178855965","1.4546812149991055","1.4233429406448743","1.3300911980128098"
"MouseRatTox","SMILE_SVR_RBF","0.1","MaxMin","rdkit_desc","0.01","1.3957985993652808","1.4482645709005357","1.4158197080424846","1.3233115191528217"
"MouseRatTox","SMILE_SVR_RBF","1.0","MaxMin","rdkit_desc","0.01","1.3857408208512976","1.4412762809887294","1.4013698384140376","1.3145763431511261"
"MouseRatTox","SMILE_SVR_RBF","1.0E-4","Standard","rdkit_desc","0.01","1.4033632855436018","1.4564381784755975","1.422915749476958","1.3307359286782492"
"MouseRatTox","SMILE_SVR_RBF","0.001","Standard","rdkit_desc","0.01","1.4010143801066361","1.4525258488993535","1.4223438537779816","1.3281734376425736"
"MouseRatTox","SMILE_SVR_RBF","0.01","Standard","rdkit_desc","0.01","1.38901043916138","1.4449654744355596","1.406237514771438","1.315828328277142"
"MouseRatTox","SMILE_SVR_RBF","0.1","Standard","rdkit_desc","0.01","1.3988055872537906","1.4526976980108037","1.4173468119081403","1.3263722518424272"
"MouseRatTox","SMILE_SVR_RBF","1.0","Standard","rdkit_desc","0.01","1.4041001206739099","1.457538678612367","1.4234732921336681","1.3312883912756948"
"MouseRatTox","SMILE_SVR_RBF","1.0E-4","MaxMin","cdk_desc","0.01","1.4039004268959008","1.4573237559012524","1.423268420044681","1.331109104741769"
"MouseRatTox","SMILE_SVR_RBF","0.001","MaxMin","cdk_desc","0.01","1.4036970717815775","1.4569368982930528","1.42315214898444","1.3310021680672397"
