"ProtocolName","LabelName","GroupValues","Size","Estimator","ROC_AUC","Direction","Threshold","Accuracy","Precision","Recall"
"adrenergic Alpha1A","Ki","NA","111","Smile SVC RBF classification","0.71","UP","8.50010699242661","0.9009009009009009","NaN","0.0"
"adrenergic Alpha1A","Ki","NA","111","Weka RF on folded fp classification","0.6709090909090909","UP","8.50010699242661","0.9009009009009009","NaN","0.0"
"Norepinephrine transporter","Ki","NA","159","Weka RF on folded fp classification","0.7502185314685317","UP","7.910094888560602","0.8930817610062893","0.3333333333333333","0.0625"
"Norepinephrine transporter","Ki","NA","159","Smile SVC Poly classification","0.7303321678321691","UP","7.910094888560602","0.89937106918239","NaN","0.0"
"Norepinephrine transporter","Ki","NA","159","Smile SVC Tanimoto classification","0.6918706293706297","UP","7.910094888560602","0.8930817610062893","0.0","0.0"
"Norepinephrine transporter","Ki","NA","159","Smile SVC RBF classification","0.6704545454545452","UP","7.910094888560602","0.89937106918239","NaN","0.0"
"Norepinephrine transporter","Ki","NA","159","Smile Bernoulli NB classification","0.6682692307692311","UP","7.910094888560602","0.3522012578616352","0.10091743119266056","0.6875"
"Norepinephrine transporter","Ki","NA","159","Weka RF classification","0.6293706293706294","UP","7.910094888560602","0.9056603773584906","0.6666666666666666","0.125"
"DOPAMINE D1","Ki","NA","233","Smile Bernoulli NB classification","0.9115942028985508","UP","7.554646532918492","0.575107296137339","0.1885245901639344","1.0"
"DOPAMINE D1","Ki","NA","233","Weka RF on folded fp classification","0.9092132505175984","UP","7.554646532918492","0.9399141630901288","0.9090909090909091","0.43478260869565216"
"DOPAMINE D1","Ki","NA","233","Weka RF classification","0.8994824016563147","UP","7.554646532918492","0.927038626609442","0.8","0.34782608695652173"
"DOPAMINE D1","Ki","NA","233","Smile SVC Tanimoto classification","0.8890269151138713","UP","7.554646532918492","0.9399141630901288","0.9090909090909091","0.43478260869565216"
"DOPAMINE D1","Ki","NA","233","Smile SVC RBF classification","0.888612836438923","UP","7.554646532918492","0.9356223175965666","0.8333333333333334","0.43478260869565216"
"DOPAMINE D1","Ki","NA","233","Smile SVC Poly classification","0.8124223602484464","UP","7.554646532918492","0.9012875536480687","NaN","0.0"
"adrenergic Alpha1B","Ki","NA","104","Weka RF classification","0.4877659574468085","UP","8.365468969849037","0.8942307692307693","0.0","0.0"
"adrenergic Alpha1B","Ki","NA","104","Smile SVC RBF classification","0.45000000000000007","UP","8.365468969849037","0.8942307692307693","0.0","0.0"
"adrenergic Alpha1B","Ki","NA","104","Smile Bernoulli NB classification","0.4404255319148937","UP","8.365468969849037","0.22115384615384615","0.10112359550561797","0.9"
"adrenergic Alpha1B","Ki","NA","104","Smile SVC Poly classification","0.37446808510638296","UP","8.365468969849037","0.9038461538461539","NaN","0.0"
"adrenergic Alpha1B","Ki","NA","104","Weka RF on folded fp classification","0.3638297872340425","UP","8.365468969849037","0.8942307692307693","0.0","0.0"
"adrenergic Alpha1B","Ki","NA","104","Smile SVC Tanimoto classification","0.31170212765957445","UP","8.365468969849037","0.8846153846153846","0.0","0.0"
"Cholinergic, muscarinic M4","Ki","NA","117","Smile SVC RBF classification","0.864493996569468","UP","8.503880043197304","0.905982905982906","NaN","0.0"
"Cholinergic, muscarinic M4","Ki","NA","117","Weka RF classification","0.8567753001715266","UP","8.503880043197304","0.905982905982906","0.5","0.09090909090909091"
"Cholinergic, muscarinic M4","Ki","NA","117","Weka RF on folded fp classification","0.8284734133790738","UP","8.503880043197304","0.9230769230769231","1.0","0.18181818181818182"
"Cholinergic, muscarinic M4","Ki","NA","117","Smile Bernoulli NB classification","0.702401372212693","UP","8.503880043197304","0.3076923076923077","0.11956521739130435","1.0"
"Cholinergic, muscarinic M4","Ki","NA","117","Smile SVC Tanimoto classification","0.6655231560891948","UP","8.503880043197304","0.905982905982906","NaN","0.0"
"Cholinergic, muscarinic M4","Ki","NA","117","Smile SVC Poly classification","0.5891938250428821","UP","8.503880043197304","0.905982905982906","NaN","0.0"
"5-HT2","Ki","NA","121","Weka RF on folded fp classification","0.7285932721712539","UP","8.683008304182197","0.9090909090909091","1.0","0.08333333333333333"
"5-HT2","Ki","NA","121","Weka RF classification","0.7041284403669725","UP","8.683008304182197","0.8760330578512396","0.0","0.0"
"5-HT2","Ki","NA","121","Smile SVC Tanimoto classification","0.7025993883792058","UP","8.683008304182197","0.9090909090909091","1.0","0.08333333333333333"
"5-HT2","Ki","NA","121","Smile SVC RBF classification","0.6750764525993889","UP","8.683008304182197","0.9008264462809917","NaN","0.0"
"5-HT2","Ki","NA","121","Smile Bernoulli NB classification","0.6376146788990829","UP","8.683008304182197","0.21487603305785125","0.0970873786407767","0.8333333333333334"
"5-HT2","Ki","NA","121","Smile SVC Poly classification","0.6330275229357804","UP","8.683008304182197","0.9008264462809917","NaN","0.0"
"adrenergic Alpha2C","Ki","NA","129","Smile SVC Poly classification","0.8435013262599468","UP","8.886056647693163","0.8992248062015504","NaN","0.0"
"adrenergic Alpha2C","Ki","NA","129","Smile SVC Tanimoto classification","0.8216180371352787","UP","8.886056647693163","0.8992248062015504","0.5","0.15384615384615385"
"adrenergic Alpha2C","Ki","NA","129","Weka RF on folded fp classification","0.8163129973474801","UP","8.886056647693163","0.9069767441860465","1.0","0.07692307692307693"
"adrenergic Alpha2C","Ki","NA","129","Smile Bernoulli NB classification","0.7718832891246686","UP","8.886056647693163","0.3023255813953488","0.1262135922330097","1.0"
"adrenergic Alpha2C","Ki","NA","129","Weka RF classification","0.7632625994694959","UP","8.886056647693163","0.9069767441860465","1.0","0.07692307692307693"
"adrenergic Alpha2C","Ki","NA","129","Smile SVC RBF classification","0.742042440318303","UP","8.886056647693163","0.8992248062015504","NaN","0.0"
"adrenergic Alpha2","Ki","NA","153","Smile Bernoulli NB classification","0.7451690821256035","UP","7.99986574833694","0.30718954248366015","0.1111111111111111","0.8666666666666667"
"adrenergic Alpha2","Ki","NA","153","Weka RF classification","0.7359903381642512","UP","7.99986574833694","0.8954248366013072","0.0","0.0"
"adrenergic Alpha2","Ki","NA","153","Weka RF on folded fp classification","0.7082125603864733","UP","7.99986574833694","0.8954248366013072","0.0","0.0"
"adrenergic Alpha2","Ki","NA","153","Smile SVC Poly classification","0.6724637681159422","UP","7.99986574833694","0.9019607843137255","NaN","0.0"
"adrenergic Alpha2","Ki","NA","153","Smile SVC Tanimoto classification","0.596135265700483","UP","7.99986574833694","0.8954248366013072","0.0","0.0"
"adrenergic Alpha2","Ki","NA","153","Smile SVC RBF classification","0.5492753623188409","UP","7.99986574833694","0.9019607843137255","NaN","0.0"
"adrenergic Alpha1","Ki","NA","146","Smile SVC Tanimoto classification","0.8506493506493499","UP","8.353918178818358","0.9041095890410958","0.5","0.07142857142857142"
"adrenergic Alpha1","Ki","NA","146","Smile SVC Poly classification","0.8176406926406925","UP","8.353918178818358","0.9041095890410958","NaN","0.0"
"adrenergic Alpha1","Ki","NA","146","Smile Bernoulli NB classification","0.7805735930735936","UP","8.353918178818358","0.13013698630136986","0.09929078014184398","1.0"
"adrenergic Alpha1","Ki","NA","146","Weka RF classification","0.704004329004329","UP","8.353918178818358","0.9041095890410958","NaN","0.0"
"adrenergic Alpha1","Ki","NA","146","Weka RF on folded fp classification","0.6490800865800865","UP","8.353918178818358","0.8972602739726028","0.0","0.0"
"adrenergic Alpha1","Ki","NA","146","Smile SVC RBF classification","0.5303030303030303","UP","8.353918178818358","0.9041095890410958","NaN","0.0"
"Cholinergic, muscarinic M3","Ki","NA","130","Smile SVC RBF classification","0.8685075608152535","UP","8.451000218197553","0.9","NaN","0.0"
"Cholinergic, muscarinic M3","Ki","NA","130","Weka RF classification","0.8655489809335963","UP","8.451000218197553","0.9076923076923077","1.0","0.07692307692307693"
"Cholinergic, muscarinic M3","Ki","NA","130","Smile Bernoulli NB classification","0.8510848126232743","UP","8.451000218197553","0.5","0.16666666666666666","1.0"
"Cholinergic, muscarinic M3","Ki","NA","130","Weka RF on folded fp classification","0.836620644312952","UP","8.451000218197553","0.9230769230769231","1.0","0.23076923076923078"
"Cholinergic, muscarinic M3","Ki","NA","130","Smile SVC Tanimoto classification","0.8290598290598293","UP","8.451000218197553","0.9153846153846154","0.75","0.23076923076923078"
"Cholinergic, muscarinic M3","Ki","NA","130","Smile SVC Poly classification","0.8047337278106496","UP","8.451000218197553","0.9","NaN","0.0"
"5-HT2B","Ki","NA","123","Weka RF on folded fp classification","0.6711711711711712","UP","8.587587645994175","0.8780487804878049","0.0","0.0"
"5-HT2B","Ki","NA","123","Smile Bernoulli NB classification","0.6298798798798806","UP","8.587587645994175","0.24390243902439024","0.09090909090909091","0.75"
"5-HT2B","Ki","NA","123","Weka RF classification","0.5334084084084084","UP","8.587587645994175","0.8861788617886179","0.0","0.0"
"5-HT2B","Ki","NA","123","Smile SVC Poly classification","0.5112612612612613","UP","8.587587645994175","0.9024390243902439","NaN","0.0"
"5-HT2B","Ki","NA","123","Smile SVC RBF classification","0.4534534534534531","UP","8.587587645994175","0.9024390243902439","NaN","0.0"
"5-HT2B","Ki","NA","123","Smile SVC Tanimoto classification","0.41891891891891886","UP","8.587587645994175","0.9024390243902439","NaN","0.0"
"OPIATE Kappa","Ki","NA","122","Weka RF on folded fp classification","0.956060606060606","UP","9.54931551209279","0.9180327868852459","1.0","0.16666666666666666"
"OPIATE Kappa","Ki","NA","122","Smile SVC Poly classification","0.95","UP","9.54931551209279","0.9016393442622951","NaN","0.0"
"OPIATE Kappa","Ki","NA","122","Weka RF classification","0.9424242424242425","UP","9.54931551209279","0.9180327868852459","0.6666666666666666","0.3333333333333333"
"OPIATE Kappa","Ki","NA","122","Smile SVC Tanimoto classification","0.9196969696969697","UP","9.54931551209279","0.9016393442622951","0.5","0.08333333333333333"
"OPIATE Kappa","Ki","NA","122","Smile Bernoulli NB classification","0.9011363636363637","UP","9.54931551209279","0.3524590163934426","0.13186813186813187","1.0"
"OPIATE Kappa","Ki","NA","122","Smile SVC RBF classification","0.8439393939393942","UP","9.54931551209279","0.9098360655737705","1.0","0.08333333333333333"
"DOPAMINE D2","Ki","NA","291","Smile Bernoulli NB classification","0.7867201895235616","UP","9.015008083483167","0.2646048109965636","0.11618257261410789","0.9655172413793104"
"DOPAMINE D2","Ki","NA","291","Weka RF classification","0.7553961568833902","UP","9.015008083483167","0.9003436426116839","NaN","0.0"
"DOPAMINE D2","Ki","NA","291","Weka RF on folded fp classification","0.7355883127138719","UP","9.015008083483167","0.9003436426116839","0.5","0.034482758620689655"
"DOPAMINE D2","Ki","NA","291","Smile SVC Tanimoto classification","0.7079494603843112","UP","9.015008083483167","0.8969072164948454","0.0","0.0"
"DOPAMINE D2","Ki","NA","291","Smile SVC RBF classification","0.6830744932877065","UP","9.015008083483167","0.9003436426116839","NaN","0.0"
"DOPAMINE D2","Ki","NA","291","Smile SVC Poly classification","0.648986575414583","UP","9.015008083483167","0.9003436426116839","NaN","0.0"
"5-HT7","Ki","NA","169","Smile SVC Tanimoto classification","0.6780185758513924","UP","8.275906087719608","0.8994082840236687","0.5","0.058823529411764705"
"5-HT7","Ki","NA","169","Weka RF on folded fp classification","0.6751160990712074","UP","8.275906087719608","0.8994082840236687","0.5","0.058823529411764705"
"5-HT7","Ki","NA","169","Weka RF classification","0.664280185758514","UP","8.275906087719608","0.9053254437869822","1.0","0.058823529411764705"
"5-HT7","Ki","NA","169","Smile SVC Poly classification","0.6079721362229098","UP","8.275906087719608","0.8994082840236687","NaN","0.0"
"5-HT7","Ki","NA","169","Smile SVC RBF classification","0.5967492260061916","UP","8.275906087719608","0.8994082840236687","NaN","0.0"
"5-HT7","Ki","NA","169","Smile Bernoulli NB classification","0.5754643962848291","UP","8.275906087719608","0.24260355029585798","0.10638297872340426","0.8823529411764706"
"5-HT3","Ki","NA","211","Smile SVC RBF classification","0.7799498746867165","UP","7.010029744984299","0.9004739336492891","NaN","0.0"
"5-HT3","Ki","NA","211","Smile SVC Tanimoto classification","0.7388471177944852","UP","7.010029744984299","0.909952606635071","0.6","0.2857142857142857"
"5-HT3","Ki","NA","211","Smile SVC Poly classification","0.729072681704259","UP","7.010029744984299","0.9004739336492891","NaN","0.0"
"5-HT3","Ki","NA","211","Weka RF classification","0.7159147869674185","UP","7.010029744984299","0.9146919431279621","1.0","0.14285714285714285"
"5-HT3","Ki","NA","211","Smile Bernoulli NB classification","0.7016290726817044","UP","7.010029744984299","0.41232227488151657","0.12949640287769784","0.8571428571428571"
"5-HT3","Ki","NA","211","Weka RF on folded fp classification","0.6431077694235586","UP","7.010029744984299","0.9146919431279621","0.8","0.19047619047619047"
"adrenergic Alpha2A","Ki","NA","141","Smile Bernoulli NB classification","0.744094488188976","UP","8.330882840955406","0.3049645390070922","0.125","1.0"
"adrenergic Alpha2A","Ki","NA","141","Smile SVC Tanimoto classification","0.697412823397075","UP","8.330882840955406","0.900709219858156","0.5","0.07142857142857142"
"adrenergic Alpha2A","Ki","NA","141","Weka RF classification","0.6943194600674915","UP","8.330882840955406","0.900709219858156","NaN","0.0"
"adrenergic Alpha2A","Ki","NA","141","Weka RF on folded fp classification","0.6794150731158605","UP","8.330882840955406","0.9078014184397163","1.0","0.07142857142857142"
"adrenergic Alpha2A","Ki","NA","141","Smile SVC Poly classification","0.6574803149606304","UP","8.330882840955406","0.900709219858156","NaN","0.0"
"adrenergic Alpha2A","Ki","NA","141","Smile SVC RBF classification","0.5416197975253096","UP","8.330882840955406","0.9078014184397163","1.0","0.07142857142857142"
"5-HT2C","Ki","NA","282","Weka RF on folded fp classification","0.8035011248593927","UP","7.961247502284806","0.9113475177304965","1.0","0.10714285714285714"
"5-HT2C","Ki","NA","282","Smile Bernoulli NB classification","0.7980877390326183","UP","7.961247502284806","0.3404255319148936","0.1201923076923077","0.8928571428571429"
"5-HT2C","Ki","NA","282","Smile SVC RBF classification","0.7813554555680539","UP","7.961247502284806","0.9042553191489362","0.6666666666666666","0.07142857142857142"
"5-HT2C","Ki","NA","282","Smile SVC Poly classification","0.7757311586051754","UP","7.961247502284806","0.900709219858156","NaN","0.0"
"5-HT2C","Ki","NA","282","Weka RF classification","0.7748172103487063","UP","7.961247502284806","0.8900709219858156","0.2","0.03571428571428571"
"5-HT2C","Ki","NA","282","Smile SVC Tanimoto classification","0.7639201349831272","UP","7.961247502284806","0.9148936170212766","0.8333333333333334","0.17857142857142858"
"Cholinergic, muscarinic M2","Ki","NA","149","Weka RF on folded fp classification","0.8308457711442786","UP","8.085329584477156","0.9060402684563759","1.0","0.06666666666666667"
"Cholinergic, muscarinic M2","Ki","NA","149","Smile SVC Tanimoto classification","0.8213930348258704","UP","8.085329584477156","0.8993288590604027","NaN","0.0"
