"name","feature","depth","trees","rmse"
"MouseRatTox","cdk","2","20","1086.8065765754857"
"MouseRatTox","rdkit","2","20","1087.75707737702"
"MouseRatTox","cdk","2","30","1095.9495503791688"
"MouseRatTox","rdkit","2","30","1096.474974303465"
"MouseRatTox","cdk","2","40","1089.1351543211697"
"MouseRatTox","rdkit","2","40","1082.6495622799357"
"MouseRatTox","cdk","2","50","1089.643582863847"
"MouseRatTox","rdkit","2","50","1085.6656609004922"
"MouseRatTox","cdk","2","60","1090.996705772995"
"MouseRatTox","rdkit","2","60","1091.6698530032509"
"MouseRatTox","cdk","2","70","1092.7147120765762"
"MouseRatTox","rdkit","2","70","1089.2774004272424"
"MouseRatTox","cdk","5","5","1136.7716313658104"
"MouseRatTox","rdkit","5","5","1116.5561973102108"
"MouseRatTox","cdk","5","10","1099.8226410295094"
"MouseRatTox","rdkit","5","10","1125.4466888823401"
"MouseRatTox","cdk","5","20","1098.3051224953444"
"MouseRatTox","rdkit","5","20","1101.3454503803553"
"MouseRatTox","cdk","5","30","1103.1621017696634"
"MouseRatTox","rdkit","5","30","1106.5787078012468"
"MouseRatTox","cdk","5","40","1100.9720996750661"
"MouseRatTox","rdkit","5","40","1094.6481235022802"
"MouseRatTox","cdk","5","50","1100.4953548580102"
"MouseRatTox","rdkit","5","50","1096.6103280680595"
"MouseRatTox","cdk","5","60","1099.378985721891"
"MouseRatTox","rdkit","5","60","1102.1316967263926"
"MouseRatTox","cdk","5","70","1102.0940131175748"
"MouseRatTox","rdkit","5","70","1098.4072838824823"
"MouseRatTox","cdk","10","5","1165.4404703485145"
"MouseRatTox","rdkit","10","5","1124.6353160941426"
"MouseRatTox","cdk","10","10","1148.130036439235"
"MouseRatTox","rdkit","10","10","1138.1146595173327"
"MouseRatTox","cdk","10","20","1128.7476361586932"
"MouseRatTox","rdkit","10","20","1113.7964100164393"
"MouseRatTox","cdk","10","30","1123.433310137035"
"MouseRatTox","rdkit","10","30","1123.0784529830662"
"MouseRatTox","cdk","10","40","1132.9632622159993"
"MouseRatTox","rdkit","10","40","1101.0793080978547"
"MouseRatTox","cdk","10","50","1116.074245530714"
"MouseRatTox","rdkit","10","50","1107.17000816453"
"MouseRatTox","cdk","10","60","1125.2876026480494"
"MouseRatTox","rdkit","10","60","1119.571014111996"
"MouseRatTox","cdk","10","70","1121.8467114027774"
"MouseRatTox","rdkit","10","70","1112.9986904921473"
"MouseRatTox","cdk","15","5","1158.51596275152"
"MouseRatTox","rdkit","15","5","1121.7895400221098"
"MouseRatTox","cdk","15","10","1160.871654211553"
"MouseRatTox","rdkit","15","10","1139.4875100402978"
"MouseRatTox","cdk","15","20","1139.454998158057"
"MouseRatTox","rdkit","15","20","1115.3898048990081"
"MouseRatTox","cdk","15","30","1130.5830674538533"
"MouseRatTox","rdkit","15","30","1126.0081956608192"
"MouseRatTox","cdk","15","40","1134.9230015217797"
"MouseRatTox","rdkit","15","40","1103.5161048195414"
"MouseRatTox","cdk","15","50","1118.0456851458302"
"MouseRatTox","rdkit","15","50","1110.037817996384"
"MouseRatTox","cdk","15","60","1131.4243270699121"
"MouseRatTox","rdkit","15","60","1122.5532309633309"
"MouseRatTox","cdk","15","70","1126.5451455381185"
"MouseRatTox","rdkit","15","70","1115.8448366676794"
"MouseRatTox","cdk","20","5","1161.174760833891"
"MouseRatTox","rdkit","20","5","1125.4749496440463"
"MouseRatTox","cdk","20","10","1162.8385240871871"
"MouseRatTox","rdkit","20","10","1141.7584435748913"
"MouseRatTox","cdk","20","20","1141.573653841993"
"MouseRatTox","rdkit","20","20","1116.8156296154461"
"MouseRatTox","cdk","20","30","1130.427504898218"
"MouseRatTox","rdkit","20","30","1129.4240342023197"
"MouseRatTox","cdk","20","40","1134.6913372894217"
