activity_string,activity_value,activity_string_2,activity_value_2
NP,,ND,
NP,,NP,
902,902.0,1170,1170.0
82.8,82.8,225,225.0
NP,,NP,
NP,,NP,
NP,,540,540.0
NP,,NP,
27.5,27.5,ND,
ND,,NP,
NP,,ND,
ND,,ND,
NP,,NP,
NP,,NP,
NP,,NP,
NP,,ND,
ND,,NP,
683,683.0,197,197.0
ND,,ND,
0.447,0.447,1.19,1.19
NP,,NP,
0.629,0.629,28.6,28.6
NP,,NP,
NP,,35.8,35.8
0.322,0.322,0.332,0.332
NP,,NP,
NP,,NP,
NP,,NP,
NP,,NP,
1.35,1.35,0.875,0.875
NP,,NP,
ND,,ND,
NP,,NP,
NP,,NP,
NP,,NP,
NP,,NP,
1570,1570.0,857,857.0
ND,,ND,
ND,,ND,
ND,,NP,
ND,,ND,
3.12,3.12,NP,
NP,,NP,
ND,,NP,
ND,,NP,
NP,,2110,2110.0
NP,,NP,
NP,,NP,
NP,,ND,
NP,,NP,
0.17,0.17,0.0774,0.0774
NP,,5230,5230.0
NP,,NP,
NP,,NP,
0.505,0.505,ND,
NP,,NP,
420,420.0,115,115.0
NP,,5.57,5.57
NP,,NP,
ND,,ND,
NP,,1.45,1.45
NP,,NP,
NP,,NP,
ND,,NP,
NP,,NP,
NP,,10900,10900.0
NP,,NP,
NP,,NP,
700,700.0,NP,
NP,,NP,
NP,,NP,
NP,,NP,
NP,,NP,
NP,,NP,
8.01,8.01,69.3,69.3
NP,,NP,
NP,,NP,
NP,,1.27,1.27
ND,,49.8,49.8
0.517,0.517,ND,
84.7,84.7,12.8,12.8
NP,,630,630.0
ND,,51.8,51.8
9.13,9.13,ND,
7.38,7.38,ND,
0.48,0.48,ND,
0.787,0.787,ND,
1.3,1.3,ND,
0.94,0.94,ND,
0.0463,0.0463,ND,
9.66,9.66,ND,
1.26,1.26,ND,
6.79,6.79,9.98,9.98
1.16,1.16,ND,
NP,,NP,
ND,,NP,
ND,,ND,
NP,,NP,
ND,,106,106.0
ND,,ND,
ND,,ND,
ND,,ND,
ND,,ND,
NP,,NP,
3.31,3.31,ND,
NP,,ND,
ND,,NP,
262,262.0,90.3,90.3
0.223,0.223,0.0372,0.0372
ND,,ND,
61.6,61.6,36.7,36.7
1.73,1.73,ND,
1.22,1.22,7.59,7.59
0.96,0.96,11,11.0
41,41.0,7.59,7.59
ND,,ND,
167,167.0,NP,
7.9,7.9,23.5,23.5
