activity_string,activity_value,activity_string_2,activity_value_2
10.7554,10.7554,4.9604,4.9604
1.31776,1.31776,0.89781,0.89781
41.6936,41.6936,1.17293,1.17293
0.114308,0.114308,1.32673,1.32673
,,1.03404,1.03404
,,1.04023,1.04023
16.6412,16.6412,1.00298,1.00298
0.0625711,0.0625711,0.981043,0.981043
3.41146,3.41146,0.39375,0.39375
2.21992,2.21992,,
,,3.30924,3.30924
0.902857,0.902857,1.08333,1.08333
,,0.830303,0.830303
,,0.870504,0.870504
,,0.922636,0.922636
,,1.05141,1.05141
,,,
,,0.770393,0.770393
,,0.615385,0.615385
,,1.19453,1.19453
13.7691,13.7691,1.17895,1.17895
,,1.26235,1.26235
,,18.0523,18.0523
11.8732,11.8732,0.586207,0.586207
0.465753,0.465753,12.2788,12.2788
5.29138,5.29138,4.37173,4.37173
0.838284,0.838284,1.3012,1.3012
6.11521,6.11521,1.1903,1.1903
1.0,1.0,0.587049,0.587049
,,,
,,1.20725,1.20725
1.34298,1.34298,,
,,1.45299,1.45299
26.5644,26.5644,0.983221,0.983221
,,0.962162,0.962162
,,3.64767,3.64767
,,0.957784,0.957784
,,,
1.09091,1.09091,1.608,1.608
1.47348,1.47348,0.847222,0.847222
,,1.20256,1.20256
,,,
,,,
10.6742,10.6742,21.9792,21.9792
,,,
1.11111,1.11111,1.35768,1.35768
,,8.36791,8.36791
,,,
27.9348,27.9348,0.803704,0.803704
1.43421,1.43421,1.07224,1.07224
0.836761,0.836761,3.77181,3.77181
1.77477,1.77477,0.597484,0.597484
0.712054,0.712054,,
,,1.34653,1.34653
,,0.908012,0.908012
,,0.972362,0.972362
,,2.57843,2.57843
,,,
1.44167,1.44167,1.34307,1.34307
0.905747,0.905747,0.906122,0.906122
,,,
,,,
2.71203,2.71203,10.5109,10.5109
3.23457,3.23457,2.53913,2.53913
25.1316,25.1316,1.13656,1.13656
,,5.30534,5.30534
42.6772,42.6772,1.71728,1.71728
,,1.5272,1.5272
,,4.26712,4.26712
,,1.11175,1.11175
36.3158,36.3158,3.5109,3.5109
,,13.6455,13.6455
3.39376,3.39376,3.9781,3.9781
0.364326,0.364326,0.994911,0.994911
,,0.793633,0.793633
,,0.923729,0.923729
,,1.36134,1.36134
,,2.37515,2.37515
14.8503,14.8503,1.41045,1.41045
,,1.04714,1.04714
,,0.878182,0.878182
,,,
,,0.680739,0.680739
,,0.826446,0.826446
7.26496,7.26496,0.755,0.755
11.5756,11.5756,1.0991,1.0991
,,39.5951,39.5951
9.02256,9.02256,0.710801,0.710801
29.1367,29.1367,1.08531,1.08531
,,1.18792,1.18792
,,278.711,278.711
,,1.11209,1.11209
1.33613,1.33613,1.36077,1.36077
,,0.895349,0.895349
,,0.81337,0.81337
,,0.440385,0.440385
12.2642,12.2642,62.2754,62.2754
16.2573,16.2573,0.833333,0.833333
